Assembly,Category,Qty,Unit,Item,Specification / Selection,Procurement Type,Required,Unit Price (source snapshot),Example Buy / Download Link,Notes / Basis
Full Build,RF pigtail,1,ea,RP-SMA to U.FL pigtail cable,150 mm U.FL to RP-SMA bulkhead cable,Buy,Yes,$2.75,https://www.sparkfun.com/rp-sma-to-u-fl-cable-150mm.html,Needed if using an external screw-on antenna rather than adhesive U.FL antenna only
Full Build,RF antenna,1,ea,2.4 GHz RP-SMA WiFi antenna,2 dBi-class external antenna,Buy,Yes,$7.95,https://www.adafruit.com/product/944,Pairs with RP-SMA pigtail above; matches project wording better than adhesive-only U.FL antenna
Full Build,Fastener,12,ea,"M2 screw, 8 mm",Main car assembly fasteners,Buy,Yes,Varies,https://www.mcmaster.com/products/socket-head-cap-screws/thread-size~m2/,Project explicitly specifies 12x M2 8 mm screws
Full Build,Fastener,6,ea,"M2 screw, 4 mm",2 for PCB container and 4 for PCB bracket on car build,Buy,Yes,Varies,https://www.mcmaster.com/products/socket-head-cap-screws/thread-size~m2/,Project explicitly specifies 6x M2 4 mm screws
Full Build,Fastener,10,ea,"M2 screw, 12 mm",Robotic arm fasteners,Buy,Yes,Varies,https://www.mcmaster.com/products/socket-head-cap-screws/thread-size~m2/,Arm guide specifies 10x M2 12 mm screws
Full Build,Fastener,10,ea,"M2 screw, 10 mm",Robotic arm fasteners,Buy,Yes,Varies,https://www.mcmaster.com/products/socket-head-cap-screws/thread-size~m2/,Arm guide specifies 10x M2 10 mm screws
Full Build,Fastener,4,ea,M2 hex nut,Optional extra stability on car build,Buy,Optional,Varies,https://www.mcmaster.com/products/nuts/thread-size~m2/,Project explicitly lists 4x optional M2 nuts
Full Build,Cable,1,ea,Futaba/JR servo extension lead,10 cm extension lead,Buy,Conditional,$1.40,https://www.turbines-rc.com/en/servos-extensions-y/752-10cm-servo-extension-cable-futaba.html,Project says 1x extension cable if required when mounting arm
Full Build,Servo accessories,8,sets,Servo horns + horn screws,Usually included with servo packs; needed for arm and wheel mounting,Included with servo,Yes,Included,,Do not omit from procurement check even if bundled
Full Build,PCB component,2,ea,2-pin board power connector,JST or screw terminal style for shield power inputs,Buy,Yes,$0.11 each (header only),https://www.digikey.com/en/products/detail/jst-sales-america-inc/B2B-XH-AM/1016630,Inferred from shield assembly step; exact connector family can vary by your PCB fab/assembly choice
Full Build,PCB component,8,ea,3-pin 2.54 mm male header for servo channels,One header per servo output channel,Buy,Yes,Varies,https://www.digikey.com/en/product-highlight/a/adam-tech/shunts,Project shield supports up to 8 servo outputs; quantity inferred from assembly images/text
Full Build,PCB component,2,ea,1x9 female header strip,For mounting ESP32 board to shield,Buy,Yes,Varies,https://www.digikey.com/en/products/filter/rectangular-connectors/headers-receptacles-female-sockets/315,Project shield assembly explicitly says 2x 9-pin female headers
Full Build,PCB component,2,ea,1000 uF 16 V radial/aluminum polymer capacitor,"Stabilizing bulk capacitance for servo rail; 2 shown, up to 4 positions available",Buy,Recommended,$0.53 each,https://www.digikey.com/en/products/detail/rubycon/16ZLH1000MEFCT78X20/3568118,Project shield images show 2x 1000uF 16V caps; arm guide also recommends 100-1000uF bulk capacitance
Full Build,PCB component,1,ea,2.54 mm jumper shunt,Shared/Isolated power mode selector on shield,Buy,Recommended,$0.32,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/60900213421/2508447,Power-mode jumper is referenced in shield text; exact style may vary
Full Build,Tooling / fabrication,1,ea,3D printer access,Needed to fabricate car and arm components,In-house / service,Yes,,,Project assumes self-printing from STL/3MF files
Full Build,Material,1,spool,PLA+ filament,Suggested print material in arm guide,Buy,Yes,,,Quantity depends on infill and reprints; one spool is ample for prototype builds
Full Build,Tooling,1,ea,0.4 mm nozzle,Recommended print setting,In-house / service,Yes,,,Project print guidance
Full Build,Tooling,1,ea,Small Phillips screwdriver,Assembly tool,Buy,Yes,,,Explicitly called out in arm guide
Full Build,Power design note,1,note,Servo rail sizing,Arm-only guide recommends separate 5V 2-3A supply if instability occurs; car shield notes isolated-power mode for 5A+ servo rail use,Engineering note,Yes,,,"Not an extra purchased part by default, but critical for reliable integration planning"
